country,code,gdp_per_capita_usd
Luxembourg,LUX,110870
Ireland,IRL,79925
Norway,NOR,74065
Switzerland,CHE,63380
Netherlands,NLD,56435
Iceland,ISL,54121
Sweden,SWE,53077
Germany,DEU,52801
Austria,AUT,51936
Denmark,DNK,51643
Belgium,BEL,48258
Finland,FIN,46342
United Kingdom,GBR,45565
France,FRA,45473
Malta,MLT,44670
Spain,ESP,40289
Italy,ITA,39499
Cyprus,CYP,38980
Czech Republic,CZE,37546
Slovenia,SVN,36566
Slovakia,SVK,35094
Lithuania,LTU,34596
Estonia,EST,33842
Portugal,PRT,31964
Poland,POL,31430
Hungary,HUN,31369
Latvia,LVA,29489
Greece,GRC,29057
Russia,RUS,28957
Turkey,TUR,27635
Kazakhstan,KAZ,27293
Romania,ROU,26498
Croatia,HRV,25806
Bulgaria,BGR,23154
Belarus,BLR,20007
Montenegro,MNE,18681
Azerbaijan,AZE,18036
Serbia,SRB,15941
Macedonia,MKD,15661
Bosnia and Herzegovina,BIH,13442
Albania,ALB,13274
Georgia,GEO,11481
Armenia,ARM,9999
Ukraine,UKR,9214
Moldova,MDA,5998
